1,1,10000
1,1,15000
2,1,10000
2,1,10000
2,2,10001
1,3,10002
2,4,10003
3,5,10004
3,6,10005
4,7,10006
4,8,10007
5,9,10008
5,10,10009
6,11,10010
7,12,10011
7,13,10012
8,14,10013
8,15,10014
8,16,10015
9,17,10016
9,18,10017
9,19,10018
10,20,10019
10,21,10020
11,22,10021
11,23,10022
11,24,10023
11,25,10024
11,26,10025
12,27,10026
12,28,10027
12,29,10028
13,30,10029
14,31,10030
15,32,10031
15,33,10032
16,34,10033
16,35,10034
17,36,10035
17,37,10036
18,38,10037
19,39,10038
20,40,10039
20,41,10040
20,42,10041
14,43,10042
13,44,10043
12,45,10044
